Crop,N,P,K,Temperature,Rainfall,Yield_Tons_Acre
Ginger,51.0,96.0,70.0,20.956496438488312,193.4121427196272,1.9581876303640544
Rubber,48.0,53.0,23.0,30.39068693799189,196.86763837345168,0.7708699367874373
Cowpea,78.0,59.0,93.0,26.34167956225152,212.291388480998,1.9841728200352724
Mango,54.0,73.0,64.0,23.692453937790127,275.81583973966724,1.7600120419416674
Guava,114.0,26.0,78.0,33.51018001180504,147.59359200119147,1.659390346673428
Ginger,59.0,52.0,58.0,22.72603966453363,291.84085958302563,1.5133659533729582
Green gram,101.0,95.0,95.0,27.40745999020207,151.09551422496693,2.032325324835626
Cucumber,48.0,33.0,36.0,24.16181367286694,239.2762315615816,11.299811870360342
Bitter gourd,110.0,49.0,75.0,23.35607450387961,60.65515107588416,1.9124581152674769
Cinnamon,105.0,26.0,33.0,28.532301575584725,297.9487026972089,1.639712477206121
Cinnamon,93.0,41.0,46.0,32.84816964430367,201.81221747051544,1.5173600379740824
Pineapple,93.0,20.0,30.0,26.91668547660715,207.3093979771786,19.72249329456093
Cinnamon,83.0,62.0,84.0,21.01003540730513,274.33264777812235,1.505304223207976
Vanilla,52.0,44.0,62.0,29.835277884548667,114.98960207729716,1.4399281942773277
Bitter gourd,40.0,30.0,90.0,21.92016965305424,100.56337014979064,1.8247847735039264
Banana,120.0,27.0,26.0,22.49107092517936,265.5600468023332,16.277379187051515
Black Pepper,75.0,71.0,80.0,31.013249938436108,54.26835525938981,0.7166328694431355
Chilli,87.0,48.0,49.0,21.697893376667903,69.37950093321835,1.6261647487358075
Okra,68.0,61.0,73.0,22.66557998406769,260.0959772959234,1.845039035300379
Snake gourd,83.0,44.0,33.0,31.649733354418224,114.65999138155289,1.920178319811526
Custard Apple,70.0,68.0,56.0,28.44068368718069,77.68936258670334,1.4840672681055718
Cinnamon,72.0,66.0,86.0,27.00224199350993,65.78252460473536,1.654398880813001
Guava,46.0,46.0,36.0,22.414743389495182,158.51087748661308,1.917288354897861
Okra,45.0,79.0,20.0,21.434785184848664,88.98558555048362,1.9400364196465023
Black gram,83.0,82.0,53.0,34.53340099891294,255.8428370825713,1.4705663967327764
Banana,87.0,32.0,42.0,21.557639525614995,186.53577899641363,17.936957668760716
Jackfruit,77.0,21.0,29.0,27.037424956453265,228.33508192074865,1.6827342733511548
Cowpea,74.0,63.0,100.0,25.48557350964599,168.3624861678203,1.6991842625895353
Clove,114.0,68.0,39.0,25.157342352155325,152.74405116460255,1.920971552654786
Cocoa,102.0,35.0,37.0,20.648064750599264,126.2675497218471,1.5940737283675286
Ash gourd,74.0,35.0,100.0,34.69268411041815,161.0908767968142,1.6373763170741928
Pineapple,66.0,20.0,26.0,34.02474490521111,96.2288917834888,23.936255059854005
Banana,69.0,77.0,31.0,26.036279982850026,146.264357326764,13.544950736942017
Guava,64.0,65.0,30.0,32.16637387119328,205.6416612494847,1.629995671869287
Papaya,48.0,28.0,28.0,24.75098186733037,289.64297769340624,1.672164681621008
Bitter gourd,41.0,98.0,94.0,23.18476185859388,63.88696845932449,1.9201060437164887
Vanilla,120.0,52.0,36.0,20.71200709429098,287.79980598767224,1.8270408250186465
Arecanut,51.0,83.0,51.0,21.12740040273717,69.44826550804379,1.752531406291137
Arecanut,43.0,53.0,70.0,20.538010900622304,255.17950939302253,1.477563751019387
Black Pepper,79.0,94.0,63.0,32.42077790801203,274.62053115963784,0.7429686141770547
Nutmeg,84.0,31.0,22.0,23.003542521779423,260.4657508380156,1.551990327703474
Ash gourd,63.0,37.0,78.0,31.58778328888357,244.71398839596296,1.5160577630967806
Pineapple,116.0,21.0,41.0,25.108025199462105,103.6167494605932,18.63801865076176
Tomato,109.0,89.0,22.0,27.375743848042845,299.3380036376664,10.614276732716066
Vanilla,85.0,79.0,80.0,31.915276840207323,128.61422060405567,1.5720030141999342
Ginger,116.0,41.0,90.0,28.502280611546357,114.07791268770508,1.5886197989697697
Coffee,61.0,57.0,63.0,30.255982641479875,114.7924029334956,1.5379814708022732
Coffee,49.0,71.0,24.0,30.906036925608262,116.34117044329685,1.8278364711351296
Chilli,55.0,91.0,40.0,22.17498665638501,103.37070607191492,1.814201625942744
Tapioca,113.0,57.0,55.0,26.811483963098247,251.0830671855287,13.64836579449448
Chilli,78.0,87.0,65.0,31.777446642315244,148.77010207307038,1.801566851993181
Cowpea,78.0,62.0,30.0,30.49471668107166,94.28096882636348,1.747592696404369
Snake gourd,57.0,99.0,95.0,21.395761138579715,83.1267516676971,1.8817403134798512
Ash gourd,48.0,48.0,45.0,31.839499873593915,71.32958782802976,1.4815841495254491
Chilli,56.0,76.0,71.0,31.78649592566761,215.78143163874267,1.4721578489921658
Banana,67.0,96.0,65.0,24.83855678855613,141.72968704214057,17.77099092074373
Mango,82.0,93.0,34.0,32.53946865439403,160.37263865171303,1.912318635957704
Coconut,92.0,79.0,76.0,29.578218109240275,216.8016653838384,1.4831642775407916
Snake gourd,111.0,23.0,50.0,32.79404967407161,202.9673835725158,1.5123142652600718
Nutmeg,111.0,70.0,40.0,20.763022048147967,169.71929733392068,2.002132478776032
Guava,112.0,34.0,96.0,21.30817980625814,214.82531611465717,1.826339315811672
Jackfruit,110.0,40.0,86.0,34.02272571072745,191.1080655141541,1.4863128923926572
Guava,81.0,21.0,76.0,23.543452652812796,175.0906406033594,1.6973324356014854
Green gram,83.0,21.0,66.0,20.55210013589341,177.35850013600032,1.57743140620257
Tea,73.0,73.0,37.0,26.909095157219262,175.55668937725716,1.6201678356955551
Cinnamon,60.0,29.0,80.0,34.02115307059437,226.5570840864229,1.6046058475045974
Papaya,99.0,42.0,59.0,23.450653607177163,176.3498027402938,1.473876400105847
Cowpea,74.0,66.0,72.0,33.02747027861966,296.5899202058224,1.4619700622683516
Tapioca,115.0,97.0,77.0,25.144303910836783,212.548676198299,10.223510205842958
Rice,89.0,47.0,51.0,28.161404497356305,130.36141157956365,3.8412691985803074
Coconut,51.0,36.0,38.0,22.096898601211088,276.8816151042831,1.9094671965542656
Tomato,104.0,58.0,91.0,21.50198566218545,69.7255762818129,12.140604476620789
Ginger,117.0,51.0,27.0,28.30511885590054,180.1001750261239,1.822495605800465
Rubber,112.0,39.0,43.0,22.27306683125924,59.8955746086703,1.063594149481062
Cowpea,48.0,83.0,74.0,26.11302155058051,245.6432882549659,1.6682007496608553
Nutmeg,107.0,45.0,90.0,22.38356790162958,91.15859117014249,1.8664939464722317
Bitter gourd,77.0,27.0,22.0,29.99349638899566,199.58417591648197,1.9190639132703309
Ash gourd,102.0,48.0,61.0,30.362052677460447,123.40877611252836,1.806161626083436
Pineapple,86.0,96.0,64.0,28.86836480552949,232.68065921078585,17.374962581798563
Guava,86.0,62.0,44.0,20.77695158699509,90.44862713310825,1.525048493798744
Jackfruit,95.0,53.0,69.0,26.443019052760967,105.66323262641072,1.4539213823654824
Ash gourd,82.0,75.0,58.0,24.357054645888933,102.63251183523762,1.4667833229953418
Okra,62.0,43.0,35.0,21.11062202076189,231.7836226157222,1.885839207479639
Black gram,103.0,43.0,22.0,33.34608709748625,136.7510873358303,1.560160342547393
Sapota,60.0,32.0,70.0,32.15703926635155,284.2637679279534,1.8043465787567508
Cucumber,81.0,65.0,60.0,20.011969821989236,146.87732686064305,11.9049123104749
Maize,87.0,21.0,65.0,34.504969439229725,254.099037141638,1.809360767745142
Cardamom,99.0,40.0,39.0,34.77953164583525,175.72331779064,1.8470265428046608
Jackfruit,114.0,39.0,88.0,29.514006931459164,189.76194845670864,1.8676417803397407
Cinnamon,89.0,84.0,94.0,27.926322595909777,74.48928548235848,1.7069498580355749
Black gram,63.0,87.0,64.0,24.27645001058116,127.90980624828444,1.5314008832811816
Green gram,62.0,47.0,74.0,21.548275979074884,113.64650627250712,1.9508977166058192
Cocoa,95.0,49.0,76.0,20.26792065730352,209.49596122254857,1.717960899377793
Rice,57.0,23.0,25.0,33.1242831773104,214.6978759887554,4.615590846983011
Ginger,46.0,43.0,99.0,24.40703579827028,246.61551714811347,1.9199217888020017
Bitter gourd,112.0,98.0,49.0,29.03153049681878,160.71092164830475,1.8995124480766716
Okra,50.0,26.0,53.0,27.61726085500176,196.42456192578916,1.89200957656535
Rubber,85.0,53.0,41.0,33.230410235849064,123.9783543276219,1.0612778664758595
Tomato,76.0,25.0,59.0,21.571244385210424,126.8246417854633,12.031329400076098
Rice,40.0,85.0,86.0,26.944229918117976,253.70088997554797,4.626036956659174
Coffee,81.0,71.0,98.0,28.83175531365965,90.14924566038115,1.8049205859659752
Jackfruit,98.0,100.0,94.0,20.50806007853372,65.7665431461573,1.8248047552265163
Maize,41.0,59.0,81.0,32.70177171421715,222.4059101857853,1.518854412249328
Cowpea,100.0,96.0,32.0,24.571519505509173,275.9447338328599,1.8206827937101333
Pineapple,104.0,58.0,37.0,27.009027773076298,286.1492756752268,19.239418594499387
Snake gourd,75.0,33.0,75.0,25.041891139970517,244.6534261938298,1.550954791714111
Cinnamon,88.0,76.0,91.0,25.15299433775046,154.7899950406998,1.865321623578415
Cocoa,88.0,57.0,50.0,25.95603958532933,213.26434907186635,1.8185424717375616
Cocoa,91.0,86.0,67.0,28.81481883796259,142.88161059948186,1.97133913721856
Cowpea,49.0,83.0,35.0,26.454161389412768,173.48163183928182,1.661414033953721
Papaya,80.0,72.0,51.0,24.09321096525701,234.90399830792083,1.5069727851360155
Tea,41.0,35.0,30.0,20.40604567142549,214.50609625114333,1.7883241365011584
Cucumber,106.0,45.0,35.0,31.77420492484434,192.9030367488929,11.27856470404921
Tapioca,49.0,26.0,30.0,21.346169718525683,82.30988615275541,13.57676921659705
Snake gourd,79.0,79.0,53.0,30.504032920311943,73.3109630555835,1.5989890949422616
Ash gourd,112.0,75.0,32.0,34.9106343375193,267.4570296168037,1.5834549781953615
Banana,64.0,84.0,27.0,22.79146977576555,66.93459446134604,13.720317455624638
Chilli,59.0,53.0,81.0,31.242971160495543,177.23108561426614,1.4080453496698777
Brinjal,45.0,94.0,43.0,26.920141449280013,210.93958501977772,1.5998211723951157
Tapioca,64.0,72.0,56.0,22.45376083963416,118.62791847151496,13.04088232861483
Snake gourd,47.0,42.0,69.0,29.36783815301253,77.01775101812603,1.549042964863302
Maize,91.0,71.0,75.0,29.098327974884334,82.89868854330192,1.954208750552691
Ash gourd,62.0,93.0,78.0,22.236874602534808,245.92472865039173,1.8972788569725725
Arecanut,106.0,76.0,23.0,27.63160000138786,152.56100807712488,1.820373701933757
Guava,78.0,55.0,64.0,23.458714289460573,159.86670469118062,1.6129401053523933
Black Pepper,110.0,42.0,92.0,33.40358838299157,55.09029196240834,0.6842259736573835
Okra,81.0,69.0,96.0,27.524185707335995,289.09371930811005,1.7802747925363107
Tapioca,40.0,39.0,77.0,27.76299910994226,154.97457104219055,10.389016442979148
Clove,110.0,55.0,99.0,33.45210447491086,77.19809614988286,1.9892265379362737
Maize,98.0,96.0,27.0,23.95961164903036,163.92351300692303,1.4701672620753097
Custard Apple,102.0,97.0,41.0,26.011964964935785,209.5005877649324,1.9419011054609443
Vanilla,42.0,89.0,36.0,23.736906314282628,179.3938982236259,1.3738272320538922
Rubber,41.0,42.0,96.0,27.088819206096343,52.140766794318765,1.0231165077250537
Cucumber,57.0,100.0,54.0,26.32900446437997,207.8817578284352,9.021122639082863
Mango,59.0,43.0,41.0,21.81414605615102,178.50540978386806,1.4050965334715917
Rubber,66.0,60.0,88.0,32.28919419091804,243.396680003068,1.1436370796549904
Mango,69.0,41.0,83.0,22.154565776754392,126.24249581069616,1.4759119232353093
Coffee,90.0,27.0,86.0,23.214178184739797,181.26028875656436,1.7895654602683575
Tea,72.0,89.0,94.0,29.72285955341917,117.7565215936743,2.0175700712324653
Papaya,61.0,47.0,44.0,21.903559734276115,175.52807468815968,1.7883722382534872
Vanilla,90.0,35.0,97.0,28.755534950689167,161.1767330785892,1.449238353378994
Cocoa,105.0,71.0,45.0,22.20060340352574,278.9504425730714,1.4875560628766746
Sapota,97.0,60.0,42.0,21.210304548495564,114.99085639554949,1.796206524121092
Cowpea,72.0,77.0,36.0,22.314994649374064,56.97176477763459,1.415762442380005
Rice,106.0,98.0,99.0,34.863886552947164,250.5348210471994,4.738634687593568
Papaya,62.0,63.0,98.0,30.2435291029848,163.11068795740618,1.442105652950905
Brinjal,72.0,85.0,66.0,29.716273105018654,181.16465548430332,1.8929740841015068
Bitter gourd,74.0,48.0,38.0,31.01327974912449,237.94004042559376,1.8930847769761077
Cardamom,91.0,20.0,90.0,23.697839416783573,209.76487836038504,1.6737728045918563
Custard Apple,95.0,68.0,81.0,31.406806338216647,288.57478892011767,1.6574373750458329
Tomato,96.0,82.0,31.0,30.90789683911199,277.9267175773748,9.4777194486799
Sapota,68.0,49.0,62.0,34.93729344260501,175.38497375673023,1.6782902015113723
Black Pepper,63.0,51.0,88.0,30.85050474072799,298.0186554569258,0.7204236644424857
Maize,47.0,61.0,75.0,28.91214378901641,122.3612265271026,1.8819344960085944
Clove,53.0,98.0,41.0,26.950017840316,234.5883967097007,1.706695206820066
Mango,45.0,79.0,97.0,29.47976779946849,88.68617169533623,1.7455771841823102
Ginger,60.0,40.0,53.0,29.855313576701796,238.59264339236304,1.549633853435632
Arecanut,97.0,51.0,77.0,22.268416701372765,69.71759922040076,1.935652898521316
Rubber,48.0,34.0,77.0,24.817687791369277,132.52740899649208,1.0209318280016306
Snake gourd,98.0,57.0,81.0,23.716938462299083,77.9703047929998,1.969950689816326
Snake gourd,78.0,58.0,53.0,30.37478923106773,247.3772432757413,1.8631149299208465
Black Pepper,102.0,35.0,71.0,27.323012608425906,172.9160176950807,0.7872387125543058
Okra,46.0,50.0,22.0,32.15141570184762,294.2690046250199,1.908489712735646
Banana,68.0,20.0,21.0,28.400890888393317,106.0889678125156,12.832953376634617
Chilli,101.0,35.0,60.0,30.602869724442897,247.5019959446587,1.4069513207938689
Jackfruit,118.0,100.0,44.0,20.82159311815693,260.0408081520517,1.7677315183126714
Coconut,64.0,67.0,54.0,23.08695615516203,256.72177136240435,1.5345723684475832
Sapota,53.0,39.0,93.0,25.53722066387491,223.58812136359208,1.861849738247335
Tapioca,110.0,85.0,100.0,32.87235144238173,277.141539999552,12.513204931318551
Chilli,103.0,66.0,92.0,32.71636690821205,191.5232428581748,1.59796486713645
Pineapple,114.0,37.0,81.0,27.87774354655229,205.48398641950752,17.37800175065986
Tomato,70.0,93.0,89.0,25.94157701849912,268.5559115893273,8.628571793230606
Black Pepper,93.0,42.0,23.0,24.14650659463404,157.21714576796478,0.6499967227604897
Cinnamon,65.0,25.0,48.0,28.14264521713373,262.90046048817493,1.685280089858478
Rice,109.0,70.0,81.0,20.58599432569292,212.2581824284461,4.5776294757405225
Chilli,92.0,52.0,54.0,32.38052274369636,196.65121038306157,1.4700003092842169
Ginger,50.0,25.0,33.0,25.14572515294588,217.22542451038527,1.572210863910022
Pineapple,81.0,62.0,78.0,23.428324350871105,234.13577061607972,24.15612246037145
Black Pepper,107.0,83.0,37.0,25.061948951687068,125.35614105950144,0.7978551559213592
Rubber,56.0,40.0,80.0,33.912350830748665,281.143561755204,0.8735027668113586
Turmeric,60.0,34.0,64.0,32.638892637867514,92.00795383593608,1.8251468256102104
Mango,70.0,28.0,35.0,30.51594122496314,105.40157349255956,1.373672993935214
Clove,89.0,49.0,89.0,22.38029849729852,165.50316482619695,1.8812556928041253
Bitter gourd,56.0,79.0,76.0,26.992378656893912,213.37209487675105,1.7163571210819877
Tapioca,92.0,23.0,65.0,22.830374989933,281.21323120073475,14.35268609025736
Black gram,96.0,56.0,27.0,29.20632195260212,248.0983773958641,1.518360272554592
Chilli,95.0,100.0,96.0,27.559491450683343,73.46219201963301,1.908021128342843
Nutmeg,60.0,98.0,36.0,28.473685245218924,240.82057382446516,1.682172516607701
Jackfruit,89.0,22.0,61.0,23.621497462257693,256.7432470564429,1.3732138154241909
Chilli,48.0,30.0,21.0,20.35003856181637,170.5334604711168,1.7207465198228764
Chilli,70.0,34.0,86.0,32.476534170703246,89.11952438288927,1.6351725819857146
Ash gourd,72.0,29.0,95.0,28.099913092479287,219.71575048772425,1.4245994077076454
Pineapple,63.0,60.0,27.0,30.99695218896945,72.11418864222756,17.740927614622294
Mango,60.0,80.0,53.0,29.726943853247764,268.4103696963799,1.5520542375734954
Ginger,76.0,56.0,81.0,34.20800527486619,160.92207863683694,1.961187636558511
Pineapple,77.0,56.0,76.0,32.24670805150068,232.2247983627807,19.88670176662137
Coffee,98.0,59.0,23.0,26.120555988558543,147.9840188437226,1.612491425198417
Rice,56.0,20.0,68.0,21.809112230543,168.09610655358338,4.31884291760518
Chilli,61.0,44.0,77.0,25.637533189959974,255.5476988866916,1.4605474329463353
Guava,43.0,89.0,83.0,27.766846812466405,242.85932834027125,1.7532335932362744
Coffee,62.0,84.0,29.0,22.642686882592077,70.6145717624095,1.4718134443385091
Nutmeg,67.0,60.0,91.0,21.674769896865666,158.5817785528602,1.4629783252191657
Pineapple,89.0,41.0,41.0,30.64073379985604,238.9856138032386,22.059900345693023
Jackfruit,64.0,60.0,73.0,21.957992553374385,291.90502012663785,1.7014909381802397
Maize,77.0,49.0,82.0,30.086732564488912,249.38612643836143,1.518158466771342
Okra,72.0,23.0,32.0,33.00453675923254,138.70894626853664,1.745289204534794
Cardamom,45.0,53.0,51.0,22.793006715912508,190.62815714675423,1.3907408341505572
Papaya,104.0,35.0,39.0,24.37445351646908,278.56613922455085,1.61640301480227
Cinnamon,95.0,79.0,85.0,23.093429434225538,98.18686465085,1.5175136077859737
Papaya,116.0,54.0,26.0,29.22548043832935,104.0124808914077,1.991175521711592
Ginger,50.0,47.0,82.0,26.23805484397739,272.631621513925,1.7000225415783037
Rice,107.0,34.0,58.0,31.051657310091684,75.42726455812794,4.351737685874469
Clove,103.0,92.0,98.0,32.87205506106778,292.63747613815224,1.8269679254169875
Green gram,48.0,99.0,39.0,20.0429640161341,230.4336569847258,1.5490895912284757
Vanilla,84.0,51.0,85.0,25.03966321325147,276.6510735638048,1.5774237735832082
Turmeric,91.0,89.0,57.0,31.306894199929296,136.74628778141977,1.9208947173060291
Guava,72.0,26.0,32.0,20.705135297290283,165.4496918685328,1.8487360234912968
Cucumber,97.0,97.0,99.0,27.10766190639788,84.7978377039232,12.154815985703436
Black gram,100.0,61.0,26.0,21.9314014810212,93.67536555291436,1.7571981004260289
Arecanut,60.0,43.0,80.0,22.53113106334418,117.2695597265851,1.5542666482215342
Turmeric,80.0,100.0,21.0,23.70909873555801,53.33985584403016,1.7469422989958436
Chilli,56.0,62.0,52.0,31.72416911586515,167.35351004967913,1.6341847944938122
Custard Apple,119.0,68.0,76.0,30.0045161863728,180.0403889105872,1.80112178080202
Bitter gourd,80.0,30.0,72.0,23.02341981345491,51.11908912782022,1.6377276197419384
Nutmeg,101.0,99.0,58.0,20.1953500444684,223.63312016864853,1.959629022613301
Black Pepper,98.0,46.0,79.0,30.80379577013393,92.45701733469252,0.8155690825640999
Arecanut,103.0,69.0,55.0,27.992129923591307,104.3761912732654,1.4683510990994135
Ginger,78.0,52.0,23.0,30.18246189331625,95.5766592083396,1.4009027952828847
Turmeric,88.0,62.0,22.0,29.979418906803566,131.22425851869906,1.6855521349941636
Cucumber,78.0,29.0,54.0,28.559489456519813,251.96872228157045,10.311971925971534
Green gram,91.0,24.0,37.0,22.022440452583755,198.34268621001465,1.9373295297466715
Coffee,50.0,82.0,58.0,33.17220262496271,297.9844605756183,1.7708450359380223
Jackfruit,93.0,99.0,51.0,33.8841979809467,233.816921051941,1.653071117604756
Rice,90.0,24.0,80.0,20.08958261398016,286.41108124328264,4.748558864389172
Sapota,83.0,33.0,82.0,25.61871129344015,97.86526613009136,1.6605207788966592
Vanilla,48.0,24.0,89.0,30.10010691254486,115.69021814801404,1.5992262238904025
Coffee,72.0,77.0,95.0,34.60194983300595,75.99711486408887,1.5517287633203056
Black gram,46.0,87.0,88.0,30.67197754331142,201.3519389300413,1.6370968765482046
Black gram,104.0,60.0,44.0,33.315681756222034,197.61144779822644,1.807998140976732
Chilli,105.0,30.0,74.0,30.66993971384141,178.74192676496196,1.4348875576729585
Nutmeg,82.0,29.0,33.0,28.61552475569981,289.41104440168215,1.881811984899835
Cucumber,97.0,56.0,58.0,30.57796029092059,98.53522552405164,8.93376526938368
Ash gourd,97.0,85.0,61.0,24.400598330577505,165.34437217782272,1.9802270083889904
Snake gourd,42.0,70.0,25.0,27.813739974412748,209.43137518101523,1.542121718664296
Black gram,110.0,84.0,44.0,24.68093010115937,247.8365990766316,1.955096895340928
Maize,69.0,41.0,79.0,30.590404499155248,127.04432882797104,1.9734680203191992
Coffee,81.0,74.0,66.0,22.255036548463615,163.48572569203844,1.969135885973768
Ginger,89.0,40.0,69.0,26.014293903978132,239.1032450347637,1.736693951984194
Tea,109.0,27.0,67.0,21.886771818689333,296.77237273709903,1.7557318454510338
Rubber,45.0,91.0,61.0,23.822631470640644,109.54012799342485,0.8696201925811013
Tapioca,92.0,25.0,71.0,34.631757030587224,150.458001037293,11.271517988829393
Jackfruit,60.0,50.0,82.0,25.020966119573792,223.6310530834693,1.715236125158939
Okra,106.0,45.0,48.0,23.401036633617657,72.22444911193213,1.7478664787217837
Mango,85.0,56.0,85.0,24.870431117457954,194.4909063834447,1.524753318943228
Pineapple,41.0,70.0,74.0,26.52158170810395,101.91030401492318,20.184970651301448
Bitter gourd,51.0,24.0,92.0,20.319049994063576,87.91398339764912,1.689160075304414
Tea,40.0,25.0,22.0,23.078374851034877,91.9511157041525,1.5378804711663128
Cinnamon,51.0,79.0,91.0,20.19618420021191,229.3821873356328,1.91599771925527
Rice,79.0,99.0,94.0,33.39204498412087,147.8699381889381,5.030215417190129
Brinjal,102.0,72.0,64.0,20.052757726727226,265.9017356713997,1.8033482486150745
Maize,60.0,65.0,27.0,31.369788693458872,88.53247339485551,1.8397907464355
Arecanut,86.0,45.0,67.0,23.041439219173636,131.92420375858194,1.74929458299366
Papaya,101.0,29.0,95.0,26.95995396349266,148.78305670863153,1.6616258199872755
Arecanut,88.0,41.0,56.0,22.04446348615407,238.08040169359265,1.4989619747367553
Tomato,43.0,34.0,26.0,31.457642847800464,168.60204093662824,10.831614272011407
Arecanut,96.0,79.0,57.0,24.6276216279242,54.93219408994103,1.5646293720126978
Cucumber,88.0,53.0,93.0,21.756248156059808,235.84134676202885,8.272120968811757
Cucumber,65.0,32.0,36.0,34.406573907092564,105.65743728595704,11.56017588898111
Sapota,74.0,96.0,83.0,25.659737308293597,75.76407201034128,1.7470144372882812
Coffee,43.0,48.0,77.0,25.22654266334188,124.54239783146568,1.5958614041814072
Cucumber,92.0,69.0,87.0,30.279508334885776,189.9275980647853,11.923272761329205
Jackfruit,118.0,78.0,44.0,34.299367515122015,82.66590357805107,1.7575027075102587
Black Pepper,60.0,87.0,57.0,30.43679721180988,284.7167317630468,0.7596325480121591
Cinnamon,67.0,66.0,66.0,33.82212180895348,213.8805953159925,1.988986366108634
Coffee,58.0,28.0,96.0,30.06190107791732,191.68272131869747,1.4305663485342903
Ginger,56.0,61.0,44.0,33.275924537426775,134.220293120838,1.5801955800501708
Coconut,50.0,93.0,69.0,25.471956536722573,192.31857420948316,1.7048067537758564
Black gram,119.0,57.0,52.0,25.412423723709637,215.6341526422769,1.76855876031622
Rice,80.0,38.0,29.0,20.067854427191488,59.39380124191816,4.564914369163911
Okra,109.0,80.0,20.0,29.47372445300676,68.2077460864409,1.911396487053033
Vanilla,42.0,56.0,36.0,21.00033892033888,289.0520850527172,1.3935938733420872
Coconut,44.0,56.0,72.0,28.119986409522955,202.187899633362,1.5842032797825438
Tea,45.0,27.0,87.0,24.266208732638265,157.90301172754985,1.5387499545304415
Ginger,82.0,75.0,86.0,25.756509692902466,85.54813597875474,1.5422374134838468
Cardamom,81.0,54.0,56.0,32.09595297589468,164.99703691994492,1.4016120899939148
Clove,103.0,47.0,96.0,30.98179923112306,205.0135243991484,1.8647952646649808
Cinnamon,113.0,24.0,79.0,34.840562903420306,258.30169204602043,1.566711360631294
Tomato,103.0,38.0,50.0,25.016278895595008,181.11503787931252,11.301069155429872
Jackfruit,111.0,100.0,93.0,30.00375090759448,214.93014783664685,1.7042699036119346
Snake gourd,86.0,37.0,26.0,24.56248430140076,170.78110505492248,1.3728934009052904
Tomato,65.0,20.0,77.0,25.86104491313078,165.53690745550213,9.15664109175386
Papaya,86.0,63.0,47.0,28.192467036577213,165.0117345947624,1.8338708286895005
Guava,111.0,49.0,39.0,30.45133279476437,148.66450310236917,1.877299594646504
Banana,83.0,27.0,74.0,33.080390146115725,102.06246358170976,15.360963487755203
Snake gourd,70.0,37.0,49.0,32.85260211708099,67.82734181744911,1.8934671710232645
Cinnamon,72.0,74.0,81.0,25.4520523839565,244.6871838514844,1.4449265093012118
Tomato,47.0,97.0,61.0,31.094662803613478,274.7946353548415,8.545360299987642
Green gram,61.0,27.0,47.0,28.772323447651384,76.28036932047564,1.3611695793900145
Arecanut,42.0,55.0,54.0,23.245691979432323,58.96354273626199,1.809102341189508
Chilli,46.0,94.0,95.0,33.42473571778007,110.35234186788472,1.587501535599047
