district,crop,soil_type,N,P,K,ph,temperature,humidity,rainfall,label
Kannur,Clove,Laterite,103.73265752716112,37.90656871671507,123.77585363393548,6.346465388718146,24.288008976830007,86.06333017712649,134.32740518037417,Clove
Kannur,Coconut,Alluvial,101.54459846452023,27.89492989087244,31.51878336061125,5.464034807016409,31.186544598790416,64.98912807314025,86.06525690360768,Coconut
Kollam,Rubber,Red,110.48019737757632,94.77312037262293,22.611469688321566,5.146664071843331,30.064444293889466,57.43344845366097,99.35099927581156,Rubber
Alappuzha,Rice,Alluvial,89.0822468857494,88.17053634123266,82.2928938044438,7.275170096974188,21.87469384490546,73.3740229379068,235.20259836702817,Rice
Thrissur,Rice,Clayey,103.33779661386978,74.19538244023353,82.80919740207867,7.200217429910137,24.116160729208907,81.0954829595192,214.7765068520211,Rice
Ernakulam,Coconut,Sandy,112.46486205471032,32.7421273283291,15.496883533135687,5.677271676954151,32.41288539430609,63.93994940697363,58.85933961684768,Coconut
Palakkad,Mango,Alluvial,93.0133812101362,31.01439657448499,92.14078187330612,5.467358460982175,30.211163387254704,51.06379802122978,318.7905949592017,Mango
Malappuram,Arecanut,Laterite,69.80189085327322,37.375047032899374,58.604018692899885,5.744803748237559,30.07965475748963,70.98158462788483,255.53130089848835,Arecanut
Palakkad,Rice,Clayey,109.47349255089324,73.5116539525551,82.25358458545253,7.585966817370874,23.128291379718227,67.64037885137637,221.31392320854064,Rice
Wayanad,Nutmeg,Loamy,80.38692474234492,79.23009749340105,42.27403564123834,5.428368621877464,24.28141901334685,53.38577596874331,205.6955723452524,Nutmeg
Pathanamthitta,Black Pepper,Laterite,99.8663227559496,29.43447535546873,101.12842658816612,6.245520694455109,24.49913254158056,77.50375723069146,114.75019282634076,Black Pepper
Pathanamthitta,Black Pepper,Red,103.00165598016176,31.092350869078988,93.23920755171116,6.353033155403576,23.07486277808195,88.04302116468129,101.27361555797624,Black Pepper
Malappuram,Arecanut,Alluvial,45.794205361803314,25.208143944989462,39.53489749248818,5.950469520443929,33.37217845587304,57.79946189984588,249.1584275669209,Arecanut
Thiruvananthapuram,Rubber,Red,104.89052977587671,79.6558543135308,35.793665300342255,5.642767398056443,29.41644471648648,50.81186740636318,80.76211311156797,Rubber
Alappuzha,Coconut,Alluvial,114.92791396718997,27.43546925509874,30.6205361344948,5.773076918387364,28.14923106854349,65.52712047113626,100.8524247216179,Coconut
Wayanad,Nutmeg,Loamy,85.97330336537621,82.29634024403897,42.97916492415635,5.353569880981765,24.28048402822239,58.007224209634245,215.0738841410191,Nutmeg
Kasaragod,Black Pepper,Laterite,105.3837004617964,22.833837221725474,98.10825899533064,6.284719701301759,25.54154807915744,75.89924399485696,130.2229274177308,Black Pepper
Malappuram,Arecanut,Alluvial,65.46468773299173,38.94766987888039,58.70830684061487,6.263451872075128,30.24907162456852,59.21390180177792,280.77977510937467,Arecanut
Alappuzha,Rice,Alluvial,109.7640797363524,85.6503502509643,96.649013876972,6.92898798960784,23.88926206775637,69.63003864590851,226.0687348794524,Rice
Thiruvananthapuram,Banana,Loamy,34.044132220165125,69.52370423552975,51.97370777319988,7.136553239515413,24.20799220641976,63.19916302432102,204.89617535435863,Banana
Alappuzha,Rice,Alluvial,102.16927912921474,88.9599141087927,101.9521529350428,7.768459683580979,25.28551193969911,79.6915854483664,190.5828852682189,Rice
Thrissur,Rice,Clayey,81.80153638270397,81.77733246899928,92.26866199442809,7.255418988946643,23.542635618545926,71.76831963400718,201.73506762073123,Rice
Wayanad,Black Pepper,Laterite,109.514109269488,19.54220725153321,98.46028083508736,6.410782241864667,22.891120184275778,70.60954312392023,89.64777205226682,Black Pepper
Thrissur,Coconut,Sandy,96.74260968966937,28.33344866550152,9.033345362399748,5.545587184942768,32.17352228104497,55.343463412565335,95.81386251197976,Coconut
Kannur,Clove,Loamy,127.2920141050936,49.55304158768325,98.66620318053828,6.469087956456685,25.492825861428337,100.31554334742272,138.08782988075018,Clove
Ernakulam,Papaya,Loamy,89.74044737445463,82.28524874778866,33.889999550352925,7.200533373211727,28.67789453813153,87.63222346477362,77.83241256411398,Papaya
Thiruvananthapuram,Coconut,Clayey,105.01331902150936,41.46868983592901,37.087927298447,5.082403473168172,32.53813568561219,64.57872181334054,74.69596269119367,Coconut
Kannur,Clove,Loamy,108.001023342509,40.18187897141128,104.72929507963664,6.716895631482913,22.344039503631898,91.58647812930896,140.81440329239206,Clove
Kasaragod,Arecanut,Laterite,51.40116873846992,27.60390215768171,56.10753671862449,5.823383431407286,31.86204848353812,68.90687579826171,251.81633837520343,Arecanut
Ernakulam,Banana,Alluvial,39.86523584554227,60.40967928965146,79.09185210911188,7.673362875342286,22.17035703761055,65.59526545239402,233.0554693478008,Banana
Thiruvananthapuram,Banana,Loamy,29.80937503267932,60.97983848279355,64.37884955697481,7.262731792017348,24.134062833712992,57.32999439506053,215.01626668561013,Banana
Kasaragod,Arecanut,Loamy,47.713008014767055,34.09320107784417,61.76501918553652,5.97642372467136,30.446532608314826,68.03726058370634,272.04864620909063,Arecanut
Wayanad,Nutmeg,Laterite,93.51332606553868,67.23577058364354,22.99189829331825,4.566137710468602,23.02252749722269,45.08187563527446,208.31140858082185,Nutmeg
Kottayam,Black Pepper,Laterite,86.27906817315483,25.54768753046352,76.40490712055573,5.968692646109832,25.78072933701181,88.39715352202086,119.27804612664563,Black Pepper
Thiruvananthapuram,Coconut,Sandy,112.4347142672064,24.64238214554989,30.533987873847828,5.681524915730945,31.14303003316769,51.23748494664056,86.41800668887336,Coconut
Idukki,Tea,Loamy,15.091529175800671,73.91216357968338,75.0448551953101,4.768134415591417,22.331462187891496,88.5706612752276,135.93387226512726,Tea
Kannur,Clove,Loamy,113.90329217431564,44.468192787978175,97.6223254527508,6.80836658445352,26.88386797996268,103.8346212386954,145.7159075888082,Clove
Idukki,Cardamom,Loamy,108.90097307112278,50.93809964724381,10.958159271465892,6.092042286242967,34.033760373308475,56.81717433725491,136.4992789068164,Cardamom
Thiruvananthapuram,Banana,Alluvial,31.55868315973301,76.58063977772846,62.60528326700168,7.21919304076587,23.419122827790183,55.33602255285368,202.8939795526595,Banana
Kollam,Rubber,Laterite,120.83231697043814,97.79696207144562,24.02771596767004,5.08279147933929,28.74683691951821,60.49480779603326,111.25505019317784,Rubber
Malappuram,Coconut,Laterite,86.03019418306067,41.46437076442099,22.17704733670935,5.528891081598335,28.394316613964723,51.36794985376162,63.06330821883985,Coconut
Ernakulam,Banana,Loamy,27.04630328330994,73.78650984840601,64.51233984005214,7.022011006511064,25.91793551953988,64.1308379528027,224.518857326324,Banana
Kozhikode,Black Pepper,Laterite,92.50773049105308,22.551851794633023,99.4462551436946,6.793600235910386,25.241263565190792,73.79990243903167,76.69138467847594,Black Pepper
Kannur,Coconut,Alluvial,112.65006014877596,39.86361684444809,25.04145834873163,5.568671670489762,34.06888991546662,51.31810462109446,94.3811075582198,Coconut
Kottayam,Cinnamon,Sandy,82.35338230510538,56.24098425166778,30.242760548577845,5.625320124471712,21.190865978604773,74.49841709798196,253.71988624480844,Cinnamon
Thiruvananthapuram,Pineapple,Loamy,28.812073701280667,50.6261219891234,78.88988933290642,7.61175235965192,26.63945647439943,67.69530801673167,259.265004432503,Pineapple
Thrissur,Rice,Alluvial,81.51800059674143,69.17741403973692,73.11011288297597,7.412685563762076,22.92355370854901,77.65002731696958,214.58750585984845,Rice
Idukki,Cocoa,Loamy,86.44863841626004,99.3535528327974,66.75580930258964,4.899818159460711,28.70964952520073,90.26660402613707,100.01863369630117,Cocoa
Wayanad,Tea,Laterite,12.23050989071631,71.13454382226767,83.06011492224962,5.369081971475088,21.59317679241657,96.2137266419152,97.7398806047421,Tea
Ernakulam,Coconut,Alluvial,112.16344465535038,28.404191028080525,13.870349093963068,5.035949677785775,30.9439499529752,60.71027685941652,75.42737823822237,Coconut
Kottayam,Cinnamon,Sandy,100.24967141098196,46.22458168735778,29.270916307408708,5.126987825608388,20.61609197415181,73.61362074238579,275.48532680827714,Cinnamon
Wayanad,Tea,Loamy,12.325133318234842,70.54564967109064,73.40873560952241,4.894368107003739,21.99202655319593,83.93284548340728,145.47952075053857,Tea
Malappuram,Coconut,Sandy,101.20911292373916,37.72597298841061,8.34765977102653,5.271301888767911,32.04616091314678,64.42403195856922,48.89447135740623,Coconut
Kottayam,Cinnamon,Sandy,93.87323676029132,53.80516442297363,24.04569998044358,5.781362969376963,18.6477824743506,72.89612850554866,259.6184660619243,Cinnamon
Ernakulam,Papaya,Alluvial,115.8747752081469,81.46816688051646,62.20071205881708,6.674718342834184,30.607850688163584,87.7434739423373,132.53259485741114,Papaya
Pathanamthitta,Rubber,Red,116.52704322607816,84.1884234494212,37.63418103201498,5.1400827320186,30.33013111762868,61.35257100073422,115.27282282962696,Rubber
Ernakulam,Coconut,Laterite,114.84706270489689,26.00132047454731,18.811773302942164,5.794785419024424,29.98314784574991,52.32624544745282,84.74390430164736,Coconut
Thiruvananthapuram,Pineapple,Loamy,34.06137277069067,54.75658657578904,67.90290786084512,7.71495473579952,21.08638820369057,59.10975542491691,250.35680254698795,Pineapple
Kollam,Rubber,Sandy,105.81375167707084,88.14866877050369,19.334108990492908,5.607544838594043,29.160176304019984,47.34448923816427,96.58704767743282,Rubber
Thiruvananthapuram,Banana,Loamy,27.24611451879052,71.16682117518147,70.04360511413336,7.435621400685198,21.39513425969288,66.6832118022759,186.0177344933448,Banana
Palakkad,Rice,Alluvial,91.6139895461701,71.66064568180715,83.55720482102618,7.732541608930778,25.84126874284912,79.62081242372504,237.98008656364075,Rice
Thiruvananthapuram,Pineapple,Sandy,27.66247841092369,68.7058609035,82.64700626388893,7.791522251290198,25.777997990228634,51.8998895752074,295.1938573044868,Pineapple
Kannur,Black Pepper,Red,107.3080410308394,26.193200485056256,98.63834584632416,5.953307175728024,23.52936405191553,86.20028288630023,114.39840362619935,Black Pepper
Ernakulam,Coconut,Laterite,94.34260050415268,42.02151608310588,32.50173924398989,5.475381918502608,31.0525564450472,63.0227259565374,69.35190246762954,Coconut
Kannur,Coconut,Laterite,103.00864332608327,41.14006024964423,30.8652875039622,4.868638180122082,28.33442882081324,61.931784089825776,95.06369839477208,Coconut
Ernakulam,Papaya,Loamy,110.16351436820425,83.87967548408432,46.79796208673077,6.666985389793919,31.53332872050308,88.75830692505676,101.39587493950202,Papaya
Thrissur,Rice,Alluvial,91.74337580998078,85.21930740482343,83.11330177628136,7.401994053481519,22.57269485404082,74.67691447589233,234.76901383398143,Rice
Palakkad,Mango,Sandy,91.58377048141142,38.7505053216164,92.02991794130124,5.738278006517119,30.31175464233532,57.558051132503465,268.7916258091205,Mango
Kasaragod,Coconut,Sandy,96.01796041571036,33.99185427230523,29.5982630972352,5.239599212579362,32.44307314671272,60.17782009936178,90.85531256415176,Coconut
Kollam,Rubber,Red,120.94302067722414,82.06589710943037,17.954732998655498,5.231661535643656,29.92550328070952,42.02818287226631,127.9922963252732,Rubber
Wayanad,Ginger,Loamy,115.92682587360191,78.86339175518562,24.2474780995656,5.733956968779997,33.49248705789578,76.35693312627349,223.0508817412613,Ginger
Kannur,Coconut,Alluvial,105.61614606650396,27.532632108399667,19.30158827689469,5.714410409511709,29.936917261939545,55.48858640228131,80.63798300852756,Coconut
Kottayam,Black Pepper,Red,95.93521278727803,29.136227695149017,103.51332298103333,6.1894414683291785,21.80354609160305,79.95061877120689,93.59866733569646,Black Pepper
Palakkad,Tapioca,Laterite,34.135292387345025,79.13700142410482,105.04847312726108,4.911171417502135,21.292444648916884,71.96146914540707,180.39261010347,Tapioca
Idukki,Black Pepper,Loamy,107.25838046486128,15.31072390145,103.1249561188548,5.886229551310425,22.277998447388107,75.23515894287894,104.3434510694774,Black Pepper
Idukki,Tea,Loamy,12.999139287831389,87.926310715506,75.47037373219088,5.619551614465935,19.109474757931505,81.50755404280605,140.66713137587328,Tea
Thrissur,Rice,Clayey,99.19450763399718,82.780640554979,72.96101210863742,7.550985924909732,25.88415039776356,78.19533684843195,238.68709994354072,Rice
Wayanad,Coffee,Red,41.59851173593185,57.78508110622175,32.44790291085873,7.28700525911501,20.85047103788421,62.94970236003616,211.22994928998816,Coffee
Ernakulam,Banana,Alluvial,25.15859470100952,67.4595024697591,58.19943239763917,7.0291864216441065,24.91057154112857,67.5392482311928,214.86267255340016,Banana
Thiruvananthapuram,Pineapple,Loamy,13.472889071394842,50.391400803234674,79.05479363120446,7.19857054143705,25.634232329696893,57.88875115998199,267.95306176754616,Pineapple
Malappuram,Arecanut,Red,68.69404695551921,37.86205473677582,36.80448876488528,5.727035912831328,35.538657977694854,69.34116084042485,243.5466073354633,Arecanut
Kasaragod,Black Pepper,Laterite,88.27212767250344,15.65256334766745,89.82565358160626,5.996868741365451,23.95253238407594,73.75730323741249,82.18272928779488,Black Pepper
Palakkad,Mango,Red,96.30335014026994,40.82278354797097,100.30760792672346,6.211867261408617,28.39652522337159,50.86761155939735,297.4657629329495,Mango
Ernakulam,Papaya,Alluvial,94.92760176031132,81.4141874973053,59.38338344241672,7.162249254920136,31.808090494321192,80.53854396148951,127.96439414583078,Papaya
Alappuzha,Coconut,Alluvial,97.75284229991694,36.19485249997416,18.37377710653684,5.452536228389224,33.43856115246646,52.54517224631488,94.13461079124576,Coconut
Kottayam,Black Pepper,Loamy,85.9015735357285,23.72210064638375,104.22003172646733,5.88360791151835,20.239685376866102,76.58151897914098,122.6320865940434,Black Pepper
Kollam,Rubber,Red,108.611346410284,93.90322593046032,18.99837238031328,5.631731725388232,26.91043661485907,45.80230207310179,99.51294369594711,Rubber
Alappuzha,Rice,Clayey,87.07999327492709,73.64226202505631,100.11725068077422,7.570996064389598,26.49637129272889,71.1791683427443,200.34576194239835,Rice
Thrissur,Rice,Alluvial,97.02545457518455,87.55367901053626,99.15128379982824,7.369467941664313,25.216710554896267,74.88833145857315,244.9810843272459,Rice
Thiruvananthapuram,Rubber,Sandy,124.52617378478088,94.96770197658404,44.54199959453192,5.576001987523417,30.00814729710406,46.0262019156452,104.15427569180264,Rubber
Wayanad,Coffee,Laterite,50.83456952803407,72.4671476574847,32.84694770211695,6.768652995801814,21.58437149713737,52.041724972379264,208.34998280261297,Coffee
Wayanad,Nutmeg,Laterite,84.1860955715963,69.41859535059635,34.063174391288086,4.750906839323566,21.09851582432881,56.63082219299093,205.71307987392208,Nutmeg
Kasaragod,Arecanut,Loamy,51.80630304029778,31.591571115141505,50.74936755280292,5.782765333483289,35.487139594768664,61.96622405292227,277.2668526449895,Arecanut
Kottayam,Black Pepper,Red,89.08862019834176,20.75702232799036,78.46029641062157,6.183087838130298,23.41856024318492,85.12977334139251,102.72304181968244,Black Pepper
Kasaragod,Arecanut,Laterite,62.603578520712446,34.00803997518331,47.81034271645058,5.68702921796126,32.796571888260395,70.30933637396629,264.8778454772432,Arecanut
Kozhikode,Coconut,Laterite,112.30617544020946,40.22518439612763,31.29946268819109,5.130889807025457,28.745034903460965,66.30733494270223,51.65131453112436,Coconut
Kasaragod,Coconut,Alluvial,94.56367380150772,28.99394879618999,11.740840483500092,5.2543848253620205,31.8200807072562,69.17974358906156,75.40701592743818,Coconut
Idukki,Tea,Clayey,39.09907807350773,87.07775033646044,87.76099378620906,4.8112063525927535,20.06935963334811,89.51563436935588,105.08778563766607,Tea
Wayanad,Black Pepper,Red,101.18962015577554,29.70173207071793,87.28943816953839,6.797910207216467,23.263355398418184,83.65189833086916,100.86865010738016,Black Pepper
Idukki,Tea,Loamy,34.107378719726185,68.98601059774249,76.72350460597063,4.877581916292679,19.680998563252583,93.48545443731923,143.98367947785795,Tea
Thrissur,Coconut,Clayey,90.04730051626623,38.36556643374989,31.7758495501702,5.273832994828505,33.23970826052203,63.79201446685391,54.46027877183021,Coconut
Kasaragod,Black Pepper,Alluvial,100.9413726173788,26.42946065483029,92.74325233389816,6.248587531376646,24.79479376823236,78.86172865224587,75.78240048264503,Black Pepper
Idukki,Tea,Laterite,21.511476888550725,69.85880948435722,74.85135474442001,4.986363491480483,23.21942808485126,99.45811311226112,112.45405231672304,Tea
Kannur,Coconut,Laterite,89.27621906572317,40.32563228263516,10.585209454964854,5.728956761842949,29.23883616693215,52.63754997398789,90.25588453515252,Coconut
Alappuzha,Coconut,Alluvial,115.3602658921572,29.5399644281126,29.431823602887665,4.979429327384514,29.01886368125338,68.06763956448803,71.95819533658393,Coconut
Wayanad,Ginger,Loamy,124.2743155888994,76.87398510767977,34.5355699942924,4.945044054272151,31.918340405822544,79.5086995113539,190.54992872399325,Ginger
Kollam,Rubber,Red,117.60266232202189,86.83764111432468,20.52507292497659,5.673124079891371,26.344346881937817,58.8029079169136,103.35319709442328,Rubber
Ernakulam,Coconut,Laterite,102.71540138530688,31.37148805988416,33.23715684213133,5.309349397534317,33.17186512756135,69.16835693947678,90.81236937489842,Coconut
Thrissur,Rice,Clayey,109.95936960685668,76.83032491500624,77.89041524041991,7.573356887351142,22.608229199008125,80.29937008400542,224.1240255176305,Rice
Kasaragod,Arecanut,Laterite,67.6062043905042,27.622659659173248,36.96010867077696,5.733302436347543,32.945608178251305,60.22509850887453,267.2159762824129,Arecanut
Idukki,Tea,Loamy,19.26300082840981,68.61754419711424,88.37482567253265,5.031871662004222,23.22287971012713,93.06765999475664,107.2850620361605,Tea
Kottayam,Cinnamon,Sandy,87.0431221248466,39.56726268728456,14.420407030153614,5.922293385327547,19.80478161658797,78.8900384311722,296.7847637239713,Cinnamon
Idukki,Cocoa,Laterite,109.288393299161,94.40305588309046,77.58887755784247,4.616471958074539,31.05514896880081,82.70239883903913,98.29125230354168,Cocoa
Wayanad,Coffee,Red,60.13686738109302,67.72566395118453,39.00951679493148,7.111744249206275,20.827551375440617,62.26529796272249,176.62982318676092,Coffee
Wayanad,Black Pepper,Loamy,93.10702212725322,24.64002346501472,76.18821834805698,5.962804856934399,25.37568850328243,80.00932501265822,114.36150693219436,Black Pepper
Idukki,Tea,Clayey,31.85962468706775,72.36322720373084,77.98672426525879,4.753357096637978,23.84578927433381,99.49270810151611,137.75590957924257,Tea
Idukki,Cocoa,Laterite,97.745673437169,98.56732350408905,59.77612090391285,5.349781625958898,30.876421363453748,81.63701310666225,103.53615386639156,Cocoa
Kannur,Clove,Alluvial,112.92471472669772,53.64284873981839,125.60810787463,6.261246863910645,23.02264773282621,101.05437370499216,165.80109394668807,Clove
Wayanad,Nutmeg,Loamy,94.85224300332766,77.61859272363623,26.169247339468,4.992456447702927,25.26374019520582,45.67838343615906,171.50235816047422,Nutmeg
Palakkad,Mango,Alluvial,110.56354038393856,31.56322553565825,94.90569350169125,5.838413194997855,31.2850275972499,50.373579343332985,282.7263968682349,Mango
Malappuram,Arecanut,Laterite,47.015516179909774,36.154861598135525,62.93239119687736,5.890361077305707,32.84102096796355,57.23145344558787,243.2203110727056,Arecanut
Kasaragod,Black Pepper,Loamy,99.01761330603722,14.71508065420139,85.02326607188853,6.588453339881381,20.28467619540004,80.67041178270551,106.85534684583288,Black Pepper
Kannur,Black Pepper,Loamy,103.991657764503,19.00403138150672,105.66975923835751,6.7289544825147125,25.68829402501506,88.10085466989145,107.96694567663744,Black Pepper
Palakkad,Mango,Alluvial,110.83307578158134,32.66148312258259,102.975193458013,5.766488924113898,31.14545029913355,50.61675022993784,273.4742446714266,Mango
Ernakulam,Banana,Alluvial,38.59189592008269,57.07586695393741,61.75953854187667,7.776583873182174,22.652438724593683,68.19879844285883,237.92178504003604,Banana
Malappuram,Arecanut,Loamy,56.79172865467744,23.911295614645176,50.51293711669173,5.6360472101448895,33.18443350043544,66.3776663503823,268.64901287071496,Arecanut
Kannur,Clove,Loamy,104.61843396771114,38.95930968003938,106.1654400313276,6.543920468488405,23.035854564806776,93.7298950015906,181.32249058236224,Clove
Idukki,Vanilla,Laterite,61.17375964971972,30.036190589809426,79.6285484905079,5.1724077567018085,25.159579743918204,87.38854742845143,99.30366691514656,Vanilla
Kannur,Clove,Laterite,121.1433979299884,46.97115845409927,100.82328464696172,6.4203309470438885,26.08185634229331,85.15893666666805,147.08814770736856,Clove
Kozhikode,Coconut,Alluvial,108.1359992746269,32.229877717827534,9.733190209436128,5.312218217857104,30.96539735888384,62.92770853401125,88.2645906471828,Coconut
Kollam,Rubber,Laterite,102.78976818136572,98.31836154887976,24.083973620681142,5.314025630087608,27.478724702236224,44.66406653773003,104.82508445637946,Rubber
Idukki,Tea,Loamy,28.66402357503407,83.93659715321495,90.57870572785416,5.399991125681859,19.957261249198584,90.4300627377206,99.2870439309494,Tea
Alappuzha,Coconut,Laterite,107.59386033681623,26.79148028796427,25.45660073455734,5.690161037374641,28.75366228016105,55.77538910037496,76.66927747619161,Coconut
Wayanad,Tea,Laterite,34.55915538691856,80.56565105883703,93.26217587024036,4.806461822024005,23.074864292050613,92.2973042566954,104.1145312153428,Tea
Thrissur,Coconut,Alluvial,100.7791451308386,32.62844116877158,27.021420638755814,5.057814420922143,33.10034637580012,54.98561880944171,59.69248357883163,Coconut
Idukki,Vanilla,Loamy,72.75043998811711,21.00173549526886,86.51437039108134,5.881822916436933,20.688706436493927,71.83485331804694,90.26131561225569,Vanilla
Ernakulam,Papaya,Alluvial,109.42714384240831,96.92261138504306,48.02949487207414,7.0102723866753305,29.60154084339617,83.038904879591,137.1080118126978,Papaya
Wayanad,Coffee,Red,34.61383761155617,60.455340149473614,33.52587585446495,6.678546384044305,22.044760250497085,45.0233983615169,198.10019593427248,Coffee
Ernakulam,Papaya,Alluvial,86.72211185288973,97.87669237180242,56.964598997143696,7.283842282821167,31.095296560229045,94.8915469647367,115.47005559214684,Papaya
Malappuram,Coconut,Alluvial,91.31934054942526,40.73955790832194,33.1791621630735,5.6652459120578005,28.60381018491732,70.9240596099011,101.4531177934942,Coconut
Malappuram,Coconut,Laterite,93.8724357124304,32.10450279523615,16.75810179659763,5.4402032261844,28.3044996437648,65.37939938868287,86.8415887385287,Coconut
Palakkad,Mango,Red,84.79460862172415,31.02945396299856,101.18447160320764,5.5030378186090685,32.585165992010026,49.6418650844752,303.3254617451681,Mango
Ernakulam,Coconut,Laterite,89.01512120733722,34.52384546855292,25.156128436298413,5.613326102441665,33.992281988316705,54.078837373840784,100.5449095601384,Coconut
Kannur,Clove,Laterite,129.19314928466432,49.62769896386647,103.15642210403269,6.679378072417463,23.90622472373333,101.19707559127863,170.59458339076264,Clove
Thiruvananthapuram,Banana,Loamy,38.4293484711241,62.92665380968298,75.91078228660233,7.763142042718636,21.0681856691781,60.445989442004745,182.9709721782471,Banana
Idukki,Tea,Laterite,22.697402250908745,74.93722002603997,86.20113127799667,4.952660554515747,19.243422700742293,84.08226270689741,97.79776915835212,Tea
Thiruvananthapuram,Rubber,Loamy,105.22006115880124,86.23012448137402,23.14120612556908,5.047430036336635,30.64281040084472,48.13138223162389,115.5995192866342,Rubber
Pathanamthitta,Rubber,Laterite,118.7358327320049,87.64392787234333,21.057573478794183,5.384911711651891,29.5593352081975,46.83551757994035,126.6897550056549,Rubber
Idukki,Black Pepper,Laterite,109.34042715961772,25.009292241179526,98.8811890944642,6.703885387031763,21.9753060256228,74.85213312335392,76.16388969436949,Black Pepper
Kozhikode,Turmeric,Laterite,84.26287697256215,41.26970608522803,50.76082167129533,7.433588096880391,26.51893561368491,85.47779454123916,261.7663877227308,Turmeric
Kasaragod,Black Pepper,Red,95.5100274424054,21.92817371155721,77.6031044439324,6.835876433933919,25.277445633657543,73.8872149909721,123.3679490460524,Black Pepper
Kannur,Black Pepper,Laterite,88.23203648388966,23.683701680115952,82.27227721146356,6.504096051477706,23.4378212418144,73.09366148796768,96.92718739207376,Black Pepper
Kottayam,Black Pepper,Loamy,85.3369480458272,17.449645728631857,105.6048596095469,6.823372095598122,22.25100313719927,82.21043937410444,126.77890951264064,Black Pepper
Thrissur,Coconut,Laterite,107.6911867038692,33.272821077401865,34.31661872646369,5.14015153824756,30.36473934220332,68.3005121383036,84.95014907636674,Coconut
Idukki,Tea,Sandy,11.49755481441397,81.06167751090577,99.69996825038336,5.028802791028284,18.87787894950366,83.66891577849154,116.78483660470418,Tea
Ernakulam,Banana,Loamy,35.94601455619619,72.57360373712297,54.25961061799033,7.699947905524379,22.4996777943148,58.67545393749554,217.54352466724168,Banana
Pathanamthitta,Rubber,Laterite,128.55135922218233,92.48758230137668,28.872680690865103,5.599455127921903,26.258066634994503,58.491210907874375,112.4899377265931,Rubber
Kozhikode,Black Pepper,Red,87.86696744408003,31.80840318442904,100.37158717103584,6.513561965967604,24.69554293734476,87.33877032442032,100.51862769302596,Black Pepper
Kannur,Clove,Loamy,107.24835886699417,47.91882474779023,103.594560818317,6.849248737090339,23.911810571686203,89.86943961554796,146.3662651013773,Clove
Idukki,Vanilla,Loamy,74.82435384556615,29.28226676562825,89.98771266956739,5.822140918260502,25.805554976933948,80.23753040142086,86.77182253690584,Vanilla
Idukki,Vanilla,Red,72.9956176285979,19.63347523749337,70.71337590288199,5.835301882830696,24.91442784607285,76.21603156049697,74.7486513145991,Vanilla
